Timestamp,ActiveConnections,Accepts,Handled,Requests,Reading,Writing,Waiting
2025-03-06 16:34:56.950056,3,48,48,47,0,1,2
2025-03-06 16:35:06.970554,3,155,155,156,0,1,2
2025-03-06 16:35:15.361797,4,323,323,324,0,1,3
2025-03-06 16:35:25.386971,2,547,547,548,0,1,1
2025-03-06 16:35:35.420381,2,833,833,834,0,1,1
2025-03-06 16:35:43.798583,2,1179,1179,1180,0,1,1
2025-03-06 16:35:53.818068,2,1589,1589,1590,0,1,1
2025-03-06 16:36:03.850253,3,2058,2058,2059,0,1,2
2025-03-06 16:36:12.158266,3,2589,2589,2590,0,1,2
2025-03-06 16:36:22.184616,3,3179,3179,3180,0,1,2
2025-03-06 16:36:32.221334,4,3824,3824,3825,0,1,3
2025-03-06 16:36:40.599754,4,4535,4535,4536,0,1,3
2025-03-06 16:36:50.621064,6,5305,5305,5305,0,1,5
2025-03-06 16:37:00.637144,3,6133,6133,6133,0,1,2
2025-03-06 16:37:10.668914,1,7024,7024,7025,0,1,0
2025-03-06 16:37:18.993678,2,7975,7975,7975,0,1,1
2025-03-06 16:37:29.018804,5,8971,8971,8970,0,1,4
2025-03-06 16:37:39.038958,3,9954,9954,9955,0,1,2
2025-03-06 16:41:16.062912,1,10050,10050,10051,0,1,0
2025-03-06 16:41:26.089452,1,10052,10052,10053,0,1,0
2025-03-06 16:41:36.129616,1,10054,10054,10055,0,1,0
2025-03-06 16:41:46.157371,1,10056,10056,10057,0,1,0
2025-03-06 16:41:54.507498,1,10058,10058,10059,0,1,0
